Unnamed: 0,user,tweet,s,v,p,time,sentiment clause,chinese frame net,sentiment,sentiment cause,subject sentiment,subject sentiment cause,subject sentiment clause,tweet_id
547,bones7456,昨晚带3岁儿子去电影院看《西游降魔篇》，没想到剧情居然会这么血腥，刚看了个开头他就被就吓得哇哇哭了，回来晚上睡觉后做梦还被惊醒。对大人来说这是部好电影，但是光看名字也不知道不适合小孩子呀，因此，强烈呼吁天朝实行#电影分级制度,3岁儿子,哭,,2/15/13 7:15,-,,neutral,,negative,哭,,33031
549,bones7456,昨晚带3岁儿子去电影院看《西游降魔篇》，没想到剧情居然会这么血腥，刚看了个开头他就被就吓得哇哇哭了，回来晚上睡觉后做梦还被惊醒。对大人来说这是部好电影，但是光看名字也不知道不适合小孩子呀，因此，强烈呼吁天朝实行#电影分级制度,3岁儿子,吓,,2/15/13 7:15,-,,neutral,,negative,,吓,33031
551,bones7456,@oceanboo我发现，玩这个的秘诀就是不作弊。。。我老婆也改时间，然后感觉玩得很随意，一下就一条命。而我，担心没命玩，每移一步都深思熟虑。最后的进度反而是我快。。。最终她玩不下去就放弃了，哈哈。。。,老婆,放弃,,11/19/14 7:49,-,,neutral,,neutral,,,24952
552,bones7456,@oceanboo我发现，玩这个的秘诀就是不作弊。。。我老婆也改时间，然后感觉玩得很随意，一下就一条命。而我，担心没命玩，每移一步都深思熟虑。最后的进度反而是我快。。。最终她玩不下去就放弃了，哈哈。。。,老婆,玩,,11/19/14 7:49,-,,neutral,,neutral,,,24952
553,bones7456,@oceanboo我发现，玩这个的秘诀就是不作弊。。。我老婆也改时间，然后感觉玩得很随意，一下就一条命。而我，担心没命玩，每移一步都深思熟虑。最后的进度反而是我快。。。最终她玩不下去就放弃了，哈哈。。。,老婆,改,时间,11/19/14 7:49,-,,neutral,,neutral,,,24952
572,bones7456,@oceanboo你居然作弊，无下限啊。。。,oceanboo,作弊,,11/19/14 7:40,-,,neutral,,neutral,,,11522
576,bones7456,杭州，馀杭，竹海水韵楼盘对面。我拍照后几个没穿制服的（不知道是不是武警）围住我们，要求删照片，把我手机拿去看了下，结果丫不会用veer，没删成，嘿嘿。@tualatrix,没穿制服的,围住,我们,3/24/12 9:11,-,,neutral,,neutral,,,9774
577,bones7456,杭州，馀杭，竹海水韵楼盘对面。我拍照后几个没穿制服的（不知道是不是武警）围住我们，要求删照片，把我手机拿去看了下，结果丫不会用veer，没删成，嘿嘿。@tualatrix,没穿制服的,要求,删照片,3/24/12 9:11,-,,neutral,,neutral,,,9774
578,bones7456,杭州，馀杭，竹海水韵楼盘对面。我拍照后几个没穿制服的（不知道是不是武警）围住我们，要求删照片，把我手机拿去看了下，结果丫不会用veer，没删成，嘿嘿。@tualatrix,没穿制服的,拿,手机,3/24/12 9:11,-,,neutral,,neutral,,,9774
580,bones7456,杭州，馀杭，竹海水韵楼盘对面。我拍照后几个没穿制服的（不知道是不是武警）围住我们，要求删照片，把我手机拿去看了下，结果丫不会用veer，没删成，嘿嘿。@tualatrix,没穿制服的,看,手机,3/24/12 9:11,-,,neutral,,neutral,,,9774
585,bones7456,聚划算的老大，被免职了，要赞下的～,聚划算的老大,被免职,,3/6/12 9:04,-,,neutral,,negative,,,9780
594,bones7456,之前我买口罩的卖家，已经把所有PM2.5口罩下架了，我估计是没库存了。。。,卖家,下架,PM2.5口罩,12/6/13 8:37,-,,neutral,,neutral,,,24177
617,bones7456,无招同学的内部信，写的不错啊！,无招同学,写,内部信,9/12/16 11:30,-,,neutral,,positive,,写的不错,22584
623,bones7456,@realmezhaowei好奇地问下，您是怎么翻墙的？,realmezhaowei,翻墙,,2/19/16 3:40,-,,neutral,,neutral,,,18997
680,bones7456,@rem1x我也买了200，其他网店的差价，你是怎么算出来的？,rem1x,算出,其他网店的差价,6/17/11 5:29,-,,neutral,,neutral,,,10283
684,bones7456,@yegle看到《高性能mysql》了，这书的译者就坐在我背后。,译者,坐,我背后,10/7/11 12:51,-,,neutral,,neutral,,,16028
691,bones7456,@ohsc呃。。我们团队整个都搬了。。。,我们团队,搬,,11/28/11 6:15,-,,neutral,,neutral,,,6253
717,bones7456,居然有老外朋友来问是否可以开发英文版的gmbox（对，我现在已经没有在维护了），记得以前googlemusic仅限大陆访问的呀？,老外朋友,问,bones7456,6/29/12 2:59,-,,neutral,,neutral,,,8336
718,bones7456,居然有老外朋友来问是否可以开发英文版的gmbox（对，我现在已经没有在维护了），记得以前googlemusic仅限大陆访问的呀？,老外朋友,问,是否可以开发英文版的gmbox,6/29/12 2:59,-,,neutral,,neutral,,,8336
729,bones7456,这么冷的天，公司一牛人居然骑个自行车就去北京了。。。（从杭州出发）,公司一牛人,去,北京,1/30/11 2:40,-,,neutral,,neutral,,,20327
730,bones7456,这么冷的天，公司一牛人居然骑个自行车就去北京了。。。（从杭州出发）,公司一牛人,骑,自行车,1/30/11 2:40,-,,neutral,,neutral,,,20327
731,bones7456,这么冷的天，公司一牛人居然骑个自行车就去北京了。。。（从杭州出发）,公司一牛人,出发,,1/30/11 2:40,-,,neutral,,neutral,,,20327
736,bones7456,有个在米国的朋友买了这个01年的二手房，精装别墅，总价20w刀不到，首付3%（没有0），从谷歌地图上看，位置也很不错这让我相当汗颜啊。,米国的朋友,买,这个01年的二手房，精装别墅,1/19/11 4:35,-,,neutral,,neutral,,,28592
737,bones7456,有个在米国的朋友买了这个01年的二手房，精装别墅，总价20w刀不到，首付3%（没有0），从谷歌地图上看，位置也很不错这让我相当汗颜啊。,朋友,在,米国,1/19/11 4:35,-,,neutral,,neutral,,,28592
739,bones7456,有个在米国的朋友买了这个01年的二手房，精装别墅，总价20w刀不到，首付3%（没有0），从谷歌地图上看，位置也很不错这让我相当汗颜啊。,米国的朋友,付,3%,1/19/11 4:35,-,,neutral,,neutral,,,28592
812,bones7456,就昨天下午，我厂把中秋福利月底，多备的货，拿来在内网拍卖。结果几个哥们不知道真的想要月饼还是秀技术，写个脚本来刷月饼，刷了一百多盒。结果昨天晚上就被开掉了。。。虽然站在个人角度，怎么想都觉得处罚过了一些，但换个角度想，大家可能都是各种秒杀器的受害者，也就释然了。#勿以恶小而为之,哥们,刷,月饼,9/13/16 0:41,-,,neutral,,neutral,,,7685
813,bones7456,就昨天下午，我厂把中秋福利月底，多备的货，拿来在内网拍卖。结果几个哥们不知道真的想要月饼还是秀技术，写个脚本来刷月饼，刷了一百多盒。结果昨天晚上就被开掉了。。。虽然站在个人角度，怎么想都觉得处罚过了一些，但换个角度想，大家可能都是各种秒杀器的受害者，也就释然了。#勿以恶小而为之,哥们,写,脚本,9/13/16 0:41,-,,neutral,,neutral,,,7685
823,bones7456,@eexpss@tualatrix杭州城区部分地段，停车费也可以支付宝了。大妈给你一个有二维码的纸条，你就直接可以走了，随时扫码付款。,大妈,给,二维码的纸条,4/18/17 6:51,-,,neutral,,neutral,,,30048
858,bones7456,"路边扎堆跳舞健身的大妈们也挺与时俱进的嘛,刚路过的时候听到的伴奏居然是&lt;伤不起&gt;...",大妈们,跳舞,,12/22/11 12:14,-,,neutral,,neutral,,,28212
859,bones7456,"路边扎堆跳舞健身的大妈们也挺与时俱进的嘛,刚路过的时候听到的伴奏居然是&lt;伤不起&gt;...",大妈们,健身,,12/22/11 12:14,-,,neutral,,neutral,,,28212
860,bones7456,"路边扎堆跳舞健身的大妈们也挺与时俱进的嘛,刚路过的时候听到的伴奏居然是&lt;伤不起&gt;...",大妈们,在,路边,12/22/11 12:14,-,,neutral,,neutral,,,28212
887,bones7456,儿子把床单尿湿了，我的做法是：立马开始emerge我那一个月没升级过的gentoo，然后把本本散热口对准床单~,儿子,尿,床单,10/1/10 12:36,-,,neutral,,neutral,,,7572
890,bones7456,"nnd,老有人搞arp攻击。。。真是的。",有人,搞,arp攻击,6/27/10 13:49,-,,negative,有人搞arp攻击,neutral,,,10097
933,bones7456,@powerwu一直在管啊，包括今天我们在一个会上也有人误解，我们都警告他会被七公请喝茶的~,我们,警告,他,3/11/13 15:34,-,,neutral,-,neutral,,,25850
934,bones7456,@powerwu一直在管啊，包括今天我们在一个会上也有人误解，我们都警告他会被七公请喝茶的~,我们,在,会上,3/11/13 15:34,-,,neutral,-,neutral,,,25850
935,bones7456,@powerwu一直在管啊，包括今天我们在一个会上也有人误解，我们都警告他会被七公请喝茶的~,我们,警告,会被七公请喝茶的,3/11/13 15:34,-,,neutral,-,neutral,,,25850
989,bones7456,@oceanboo擦，为什么总有人投来“人傻、钱多”的目光？我们去租个房子，房东听说是阿里的，都会多叫点价。。。,房东,叫,价,12/17/13 5:31,-,,negative,-,neutral,,,9237
1004,bones7456,这个社会真的没救了吗？刚老婆骑车上班，遭遇小偷了，这不算什么，但是地点居然是闹市区，周围的人不要太多；而且老婆及时发现了包包被拉开了，那小偷就大摇大摆地走了，那个安然啊。。。,老婆,骑,车,12/28/10 1:22,-,,neutral,-,neutral,,,28875
1005,bones7456,这个社会真的没救了吗？刚老婆骑车上班，遭遇小偷了，这不算什么，但是地点居然是闹市区，周围的人不要太多；而且老婆及时发现了包包被拉开了，那小偷就大摇大摆地走了，那个安然啊。。。,老婆,遭遇,小偷,12/28/10 1:22,-,,negative,,negative,,遭遇小偷,28875
1006,bones7456,这个社会真的没救了吗？刚老婆骑车上班，遭遇小偷了，这不算什么，但是地点居然是闹市区，周围的人不要太多；而且老婆及时发现了包包被拉开了，那小偷就大摇大摆地走了，那个安然啊。。。,老婆,发现,包包被拉开了,12/28/10 1:22,-,,neutral,-,neutral,,,28875
1038,bones7456,刚打给快递，说我的包裹应该今天就会送到，我终于在推上热度快过的时候，也成为#veer党的一员了。,快递,说,我的包裹应该今天就会送到,10/23/11 6:59,-,,neutral,-,neutral,,,22886
1040,bones7456,#曹操专车也有不靠谱的时候，刚预约了一个明天一早到景区的行程，可能由于回程不太好拉人，基本每人接单，继续了数次以后接单了，但马上司机就说是误操作，给我“改派”了，改派后继续没人接单，但我这边看到的是已经预约成功的状态，一不小心就会耽误行程啊！,司机,说,误操作,4/22/17 14:17,-,,neutral,-,neutral,,,30771
1042,bones7456,#曹操专车也有不靠谱的时候，刚预约了一个明天一早到景区的行程，可能由于回程不太好拉人，基本每人接单，继续了数次以后接单了，但马上司机就说是误操作，给我“改派”了，改派后继续没人接单，但我这边看到的是已经预约成功的状态，一不小心就会耽误行程啊！,司机,接单,,4/22/17 14:17,-,,neutral,-,neutral,,,30771
1043,bones7456,#曹操专车也有不靠谱的时候，刚预约了一个明天一早到景区的行程，可能由于回程不太好拉人，基本每人接单，继续了数次以后接单了，但马上司机就说是误操作，给我“改派”了，改派后继续没人接单，但我这边看到的是已经预约成功的状态，一不小心就会耽误行程啊！,司机,改派,,4/22/17 14:17,-,,neutral,-,neutral,,,30771
1046,bones7456,仔仔说，这是男垃圾桶,仔仔,说,这是男垃圾桶,6/10/13 10:35,-,,neutral,-,neutral,,,4839
1071,bones7456,下午在八大关看到这哥们，唱的真的非常不错，忍不住买了张唱片！,这哥们,唱,,7/21/15 13:55,-,,positive,唱的真的非常不错,neutral,,,31237
1098,bones7456,@fivestar0517我用twitterapi的代码就是@yegle写的twip啊。,yegle,写,twip,6/5/10 10:17,-,,neutral,-,neutral,,,27918
1137,bones7456,@xsoul哇。。你是我所知的第一个发现这个彩蛋的哦~,xsoul,发现,这个彩蛋,12/23/09 14:55,-,,neutral,-,neutral,,,10536
1156,bones7456,一同事在为其亲戚募捐，白血病已找到干细胞，待移植。想献爱心又信不过各种十字会的，可以出手：博客：，爱心通道：夏新娥工商银行账号6222021210005008218，支付宝：helpwangjun@sina.com,同事,募捐,,2/28/12 15:03,-,,neutral,-,neutral,,,8896
1172,bones7456,收到@aiww的￥89.64的还款了，呵呵。,aiww,还,￥89.64,11/21/12 3:24,呵呵,,positive,-,neutral,,,17257
1185,bones7456,刚和apple的技术支持，就iCloud照片图片无法上传照片的问题，扯了半天，最后说是iOS9的bug，会在9.3版本解决。。。,apple的技术支持,说,是iOS9的bug，会在9.3版本解决,1/14/16 5:38,-,,neutral,-,neutral,,,19021
1199,bones7456,刚儿子想玩电脑，于是让他乱按一通键盘，由于在X下，经常会点到触摸板的左右键，于是切换到tty下，想看看他到底能按出什么来，没想到他很快就能切换回X，后来仔细观察，原来win键可以在tty之间切换，win右边的上下文键可以直接切换到X，这个以前还真不知道。。。,儿子,点,触摸板的左右键,12/19/10 12:20,-,,neutral,-,neutral,,,26581
1200,bones7456,刚儿子想玩电脑，于是让他乱按一通键盘，由于在X下，经常会点到触摸板的左右键，于是切换到tty下，想看看他到底能按出什么来，没想到他很快就能切换回X，后来仔细观察，原来win键可以在tty之间切换，win右边的上下文键可以直接切换到X，这个以前还真不知道。。。,儿子,切换,X,12/19/10 12:20,-,,neutral,-,neutral,,,26581
1203,bones7456,刚儿子想玩电脑，于是让他乱按一通键盘，由于在X下，经常会点到触摸板的左右键，于是切换到tty下，想看看他到底能按出什么来，没想到他很快就能切换回X，后来仔细观察，原来win键可以在tty之间切换，win右边的上下文键可以直接切换到X，这个以前还真不知道。。。,儿子,按,键盘,12/19/10 12:20,-,,neutral,-,neutral,,,26581
1208,bones7456,@tualatrix呵呵，两个月前见过这玩意，当时还是beta版本，几个人手机连上去试了下，也感觉不出速度有多快。,几个人,连,beta版本,6/29/13 8:44,-,,neutral,-,negative,,感觉不出速度有多快,15344
1209,bones7456,@tualatrix呵呵，两个月前见过这玩意，当时还是beta版本，几个人手机连上去试了下，也感觉不出速度有多快。,几个人,试,beta版本,6/29/13 8:44,-,,neutral,-,negative,,感觉不出速度有多快,15344
1211,bones7456,@tualatrix呵呵，两个月前见过这玩意，当时还是beta版本，几个人手机连上去试了下，也感觉不出速度有多快。,几个人,用,手机,6/29/13 8:44,-,,neutral,-,neutral,,,15344
1264,celte,小盆友居然看美女与野兽大结局看哭了，也也成熟的太早点了吧！,小盆友,看,美女与野兽大结局,10/1/12 6:22,-,,neutral,-,negative,,哭,11614
1265,celte,小盆友居然看美女与野兽大结局看哭了，也也成熟的太早点了吧！,小盆友,哭,,10/1/12 6:22,-,,neutral,-,negative,,哭,11614
1275,celte,昨天晚上小情人不和我睡还真不习惯了,小情人,拒絕,和我睡,4/29/12 2:55,-,,negative,不习惯,neutral,,,26807
1297,celte,@yupo@laoxie记得有次我午睡的时候，恍恍惚惚觉得眼前有呼吸，惊醒后发现一张瞪大的眼的脸对着我，原来是下铺兄弟的GF，然后她让我收声，她说她在玩躲猫猫。。。。。坑爹啊！,下铺兄弟的GF,说,她在玩躲猫猫,4/8/11 14:35,-,,neutral,-,neutral,,,4879
1298,celte,@yupo@laoxie记得有次我午睡的时候，恍恍惚惚觉得眼前有呼吸，惊醒后发现一张瞪大的眼的脸对着我，原来是下铺兄弟的GF，然后她让我收声，她说她在玩躲猫猫。。。。。坑爹啊！,下铺兄弟的GF,让,收声,4/8/11 14:35,-,,negative,坑爹,neutral,,,4879
1299,celte,老婆也骂我那么烂的比赛都看得下去！RT@wangpei:两只垃圾队，连我家猫都看不下去，睡了。,老婆,骂,我,6/29/10 15:45,-,,negative,老婆也骂我,neutral,,,7209
1309,celte,sn里面一个擦背小哥在唱“你像个筷子把我出卖”想了半天才明白是哪句歌词,擦背小哥,唱,“你像个筷子把我出卖”,4/19/11 13:54,-,,neutral,-,neutral,,,6982
1318,celte,还是我妈的米粉煮的好吃！,我妈,煮,米粉,4/21/12 7:28,,,positive,好吃,neutral,,,26728
1319,celte,因为在小区里有捷径可以通过隔壁一个单元下到地下车库，每次遇到隔壁这个单元的一个空姐都很客气，会主动帮你开门，还会主动挡住门让你好通过，所以职业素养真的很重要啊！,空姐,开,门,7/11/12 5:21,-,,neutral,-,neutral,,,13372
1321,celte,因为在小区里有捷径可以通过隔壁一个单元下到地下车库，每次遇到隔壁这个单元的一个空姐都很客气，会主动帮你开门，还会主动挡住门让你好通过，所以职业素养真的很重要啊！,空姐,挡住,门,7/11/12 5:21,-,,neutral,-,neutral,,,13372
1330,celte,刚才行政哥哥给了我七块五毛钱说是出差通讯补贴说！太意外了,行政哥哥,说,是出差通讯补贴,4/6/12 3:36,-,,neutral,-,neutral,,,6040
1331,celte,刚才行政哥哥给了我七块五毛钱说是出差通讯补贴说！太意外了,行政哥哥,给,七块五毛钱,4/6/12 3:36,-,,neutral,-,neutral,,,6040
1355,celte,晚上基本用不了家里的WIFI，网络带宽都被老妈和老婆占用完了,老妈,占用,网络带宽,11/24/12 12:52,-,,neutral,-,neutral,,,31065
1356,celte,晚上基本用不了家里的WIFI，网络带宽都被老妈和老婆占用完了,老婆,占用,网络带宽,11/24/12 12:52,-,,neutral,-,neutral,,,31065
1388,celte,非诚勿扰一号称博士男嘉宾说，我的愿望是有洗个房子，娶一个妻子，戴一顶帽子。我很好奇是不是绿色的？,男嘉宾,说,我的愿望是有洗个房子，娶一个妻子，戴一顶帽子,2/24/13 13:46,-,,neutral,-,neutral,,,21753
1391,celte,在听不知道哪的野鸡学院的教授讲课真蛋疼，喔还是副的！,教授,讲课,,6/7/12 7:55,,,negative,蛋疼,neutral,,,17170
1426,celte,老板过生日你们也打脸！还搞个国泰君安！那么有出息怎么不去跪着叫万岁啊！,老板,过,生日,6/15/15 3:30,-,,negative,-,neutral,,,16062
1434,celte,某董事来视察也就算了，问题今天天冷毛衣太厚，办公室三套西服根本没有一套穿得进去！坑爹啊！,某董事,视察,,12/23/11 6:34,-,,neutral,-,neutral,,,22771
1460,celte,看见保安在桌子上转硬币，突然想起盗梦空间！,保安,转,,11/15/10 4:35,-,,neutral,-,neutral,,,6638
1479,celte,小盆友包的饺子，三岁就很能干了,小盆友,包,饺子,11/24/12 11:33,-,,neutral,-,neutral,,,18326
1486,celte,别人送了两盒榴莲，半个小时办公室已经无法待下去了(&gt;&lt;),别人,送,榴莲,4/18/12 7:04,-,,neutral,-,neutral,,,19188
1496,celte,给10086发短信晚安，居然有自动回复，这个机器人不错！也算有爱,10086,回复,celte,4/24/12 6:48,有爱,,positive,-,neutral,,,7897
1505,celte,@tsaotse我家是满族，在昆明开合香楼的，你吃的火腿四两坨就是我们家发明的啦，按我爹当年的记忆过个中秋节收的银元都有十三汽油桶，然后雇一票人挑着存到当时的富滇银行（不是现在商业银行改名变出来的这个）,我们家,发明,火腿四两坨,4/25/14 1:34,-,,neutral,-,neutral,,,8978
1506,celte,@tsaotse我家是满族，在昆明开合香楼的，你吃的火腿四两坨就是我们家发明的啦，按我爹当年的记忆过个中秋节收的银元都有十三汽油桶，然后雇一票人挑着存到当时的富滇银行（不是现在商业银行改名变出来的这个）,爹,雇,人,4/25/14 1:34,-,,neutral,-,neutral,,,8978
1507,celte,@tsaotse我家是满族，在昆明开合香楼的，你吃的火腿四两坨就是我们家发明的啦，按我爹当年的记忆过个中秋节收的银元都有十三汽油桶，然后雇一票人挑着存到当时的富滇银行（不是现在商业银行改名变出来的这个）,爹,收,银元,4/25/14 1:34,-,,neutral,-,neutral,,,8978
1508,celte,@tsaotse我家是满族，在昆明开合香楼的，你吃的火腿四两坨就是我们家发明的啦，按我爹当年的记忆过个中秋节收的银元都有十三汽油桶，然后雇一票人挑着存到当时的富滇银行（不是现在商业银行改名变出来的这个）,我家,开,合香楼,4/25/14 1:34,-,,neutral,-,neutral,,,8978
1509,celte,@tsaotse我家是满族，在昆明开合香楼的，你吃的火腿四两坨就是我们家发明的啦，按我爹当年的记忆过个中秋节收的银元都有十三汽油桶，然后雇一票人挑着存到当时的富滇银行（不是现在商业银行改名变出来的这个）,人,存,银元,4/25/14 1:34,-,,neutral,-,neutral,,,8978
1510,celte,@tsaotse我家是满族，在昆明开合香楼的，你吃的火腿四两坨就是我们家发明的啦，按我爹当年的记忆过个中秋节收的银元都有十三汽油桶，然后雇一票人挑着存到当时的富滇银行（不是现在商业银行改名变出来的这个）,我家,在,昆明,4/25/14 1:34,-,,neutral,-,neutral,,,8978
1511,celte,@tsaotse我家是满族，在昆明开合香楼的，你吃的火腿四两坨就是我们家发明的啦，按我爹当年的记忆过个中秋节收的银元都有十三汽油桶，然后雇一票人挑着存到当时的富滇银行（不是现在商业银行改名变出来的这个）,人,挑,十三汽油桶,4/25/14 1:34,-,,neutral,-,neutral,,,8978
1512,celte,居然厕所里遇到个保安打手枪还不关门。。。。#fml,保安,打手枪,,4/18/11 3:05,-,,negative,遇到个保安打手枪还不关门,neutral,,,30149
1531,celte,刚才一客户把人打伤，警察来了说你打伤人了要去做笔录，打人者叫到我不去，他伤是到眼睛了，可我是心灵受伤……我当时那个晕……,打人者,叫,我不去,4/20/12 6:15,-,,neutral,-,neutral,,,5871
1532,celte,刚才一客户把人打伤，警察来了说你打伤人了要去做笔录，打人者叫到我不去，他伤是到眼睛了，可我是心灵受伤……我当时那个晕……,警察,来,,4/20/12 6:15,-,,neutral,-,neutral,,,5871
1533,celte,刚才一客户把人打伤，警察来了说你打伤人了要去做笔录，打人者叫到我不去，他伤是到眼睛了，可我是心灵受伤……我当时那个晕……,警察,说,你打伤人了要去做笔录,4/20/12 6:15,-,,neutral,-,neutral,,,5871
1534,celte,刚才一客户把人打伤，警察来了说你打伤人了要去做笔录，打人者叫到我不去，他伤是到眼睛了，可我是心灵受伤……我当时那个晕……,客户,打伤,人,4/20/12 6:15,晕,,negative,-,neutral,,,5871
1548,celte,新郎说：你是我今天最爱的人，嫁给我吧！……囧rz,新郎,说,你是我今天最爱的人，嫁给我吧！,10/30/10 11:14,-,,neutral,-,neutral,,,31312
1594,celte,小鱼全部白点病，中午去买药。,小鱼,得,白点病,12/12/12 0:43,-,,negative,小鱼全部白点病,neutral,,,5063
1601,celte,小区内居然有条蟒蛇，我估计是谁家养的跑出来的，现在一堆人在搜捕,一堆人,搜捕,蟒蛇,4/16/11 5:58,-,,neutral,,neutral,,,26822
1640,celte,大清早就被我妈拉起来参加老年活动！,妈,拉起来,celte,11/19/11 2:11,-,,neutral,-,neutral,,,15873
1692,celte,一堆兄弟打电话来说油价要涨了!可也没见飞机掉啊!假消息?,兄弟,打电话,,10/25/10 12:06,,,neutral,,neutral,,,10813
1693,celte,一堆兄弟打电话来说油价要涨了!可也没见飞机掉啊!假消息?,兄弟,说,油价要涨了,10/25/10 12:06,,,neutral,,neutral,,,10813
1694,celte,两个朋友在聊天，甲是孙俪粉丝听说说孙俪揣上了很是感慨。这时候乙说话了，就那小妮子放夜总会一堆女的里面你挑的绝对不是她！……想想好像真是那么回事,朋友,聊天,,5/24/11 15:00,,,neutral,,neutral,,,14778
1695,celte,两个朋友在聊天，甲是孙俪粉丝听说说孙俪揣上了很是感慨。这时候乙说话了，就那小妮子放夜总会一堆女的里面你挑的绝对不是她！……想想好像真是那么回事,乙,说话,就那小妮子放夜总会一堆女的里面你挑的绝对不是她！,5/24/11 15:00,,,neutral,,neutral,,,14778
