Unnamed: 0,tweet_id,user,tweet,s,v,p,time,sentiment clause,chinese frame net,sentiment,sentiment cause,frame_name,subject sentiment,subject sentiment cause,subject sentiment clause
21,26141,0YU,移动VPN连上，冒个泡……,0YU,连,移动VPN,2015-11-17T06:40:11,-,-,neutral,-,Network,neutral,-,-
22,16195,0YU,骂了b的GFW,0YU,用,GFW,2011-04-09T03:31:29,-,-,negative,骂了b,Using,negative,骂了b,-
23,21426,0YU,我烧的丝瓜蛋汤真好吃.,0YU,烧,丝瓜蛋汤,2010-09-04T12:17:15,-,-,positive,好吃,Cooking_creation,positive,好吃,-
24,12316,0YU,"好的,IMDB被墙.....为啥不干脆点把国外的网站都屏蔽算了.",IMDB,被墙,,2010-01-09T06:54:23,-,-,neutral,-,Block,neutral,-,-
25,30409,0YU,"windows资源管理器发现,即使关闭QQ安全控件.QQ仍然狂扫硬盘.从此以后QQ只敢用Web的了.",0YU,用,windows资源管理器,2011-05-09T12:01:52,-,-,neutral,-,Using,neutral,-,-
26,30409,0YU,"windows资源管理器发现,即使关闭QQ安全控件.QQ仍然狂扫硬盘.从此以后QQ只敢用Web的了.",0YU,发现,即使关闭QQ安全控件.QQ仍然狂扫硬盘,2011-05-09T12:01:52,-,-,neutral,-,Becoming_aware,neutral,-,-
27,33069,0YU,连续3天3个帐号27个getbridges后终于翻墙出来.,0YU,用,帐号,2011-02-10T13:00:50,-,-,neutral,-,Using,neutral,-,-
28,33069,0YU,连续3天3个帐号27个getbridges后终于翻墙出来.,0YU,翻墙,,2011-02-10T13:00:50,-,-,neutral,-,Network,neutral,-,-
29,33069,0YU,连续3天3个帐号27个getbridges后终于翻墙出来.,0YU,用,getbridges,2011-02-10T13:00:50,-,-,neutral,-,Using,neutral,-,-
30,17506,0YU,锻炼PP结束......,0YU,锻炼,PP,2009-10-27T09:09:03,-,-,neutral,-,Exercising,neutral,-,-
31,23438,0YU,"泡脚,碎觉.",0YU,泡,脚,2012-11-04T15:29:57,-,-,neutral,-,Grooming,neutral,-,-
32,5887,0YU,"吃饭,散步归来,下雨的上海,空气很清新.",0YU,散步,,2011-10-01T12:29:59,-,-,neutral,-,Motion,neutral,-,-
33,5887,0YU,"吃饭,散步归来,下雨的上海,空气很清新.",0YU,归来,,2011-10-01T12:29:59,-,-,neutral,-,Motion,neutral,-,-
34,5887,0YU,"吃饭,散步归来,下雨的上海,空气很清新.",0YU,吃饭,,2011-10-01T12:29:59,-,-,neutral,-,Ingestion,neutral,-,-
35,14768,0YU,"Fuuuuuuuuuuuuuuuuuuuuuuuuuck,英国snooker锦标赛不播,播个啥东亚女子排球赛.不是电视台脑残就是我脑残.",0YU,看,东亚女子排球赛,2009-12-09T13:56:39,-,-,negative,电视台脑残,Perception_active-Look,negative,电视台脑残,-
36,7198,0YU,"晕,测试成功,原来是墙内网速问题.",0YU,测试,,2011-10-12T10:11:39,晕,Fall_asleep,negative,墙内网速问题,Trying_out,negative,墙内网速问题,晕
37,23436,0YU,"10点上的睡觉闹铃,11点还在上网.妈的,,,这才叫低效率啊.",0YU,上网,,2011-10-08T15:21:43,-,-,negative,低效率,Network,negative,低效率,-
37,23436,0YU,"10点上的睡觉闹铃,11点还在上网.妈的,,,这才叫低效率啊.",0YU,上,睡觉闹铃,2011-10-08T15:21:43,-,-,neutral,,Using,neutral,,-
38,27677,0YU,头很晕.天气要变了.,头,晕,,2010-05-16T09:03:52,晕,Fall_asleep,negative,天气要变了,Perception_body-Pain,negative,天气要变了,晕
39,30050,0YU,"一百年没看过国产电影了,今天就下个号称中国电影巅峰之作的--马路天使(1937)吧.",0YU,下,马路天使(1937),2011-02-28T13:39:11,-,-,neutral,-,Getting,neutral,-,-
40,25820,0YU,"烧了一把6gv2红轴,明天到货吼吼~~~",0YU,烧,6gv2红轴,2013-06-17T04:03:28,-,-,neutral,-,Commerce_buy,neutral,-,-
41,30897,0YU,"@milleyin@youtube除了看到一个妹纸不停弄头发和眼镜,没有任何亮点啊.",0YU,看到,妹纸不停弄头发和眼镜,2012-04-23T03:27:48,-,-,neutral,-,Perception_active-Look,neutral,-,-
42,11553,0YU,吃饭在.,0YU,吃饭,,2009-10-26T05:40:13,-,-,neutral,-,Ingestion,neutral,-,-
43,19596,0YU,"iPhone换了个屏,🔘变紧了……",0YU,换,屏,2016-03-08T16:19:53,-,-,neutral,-,Cause_change,neutral,-,-
44,7173,0YU,tcpdump能让人上瘾...,0YU,用,tcpdump,2016-07-28T10:00:32,-,-,neutral,-,Using,neutral,-,-
45,13096,0YU,连续三周都收到喜糖是闹哪样.......,0YU,收到,喜糖,2014-10-28T02:49:38,-,-,neutral,-,Getting,neutral,-,-
46,17479,0YU,"@alanblake这好的天气,坐室内听这种讲座,不无趣才怪....",0YU,坐,室内,2013-10-20T03:06:15,-,-,neutral,,Posture-Sit,neutral,,-
47,17479,0YU,"@alanblake这好的天气,坐室内听这种讲座,不无趣才怪....",0YU,听,讲座,2013-10-20T03:06:15,无趣,Stimulus_focus,negative,听这种讲座,Perception_active-Listen,negative,听这种讲座,无趣
48,24373,0YU,"到上海了,做清洁了,把不用的垃圾都扔了,哎~早该扔了.",0YU,到,上海,2009-11-03T09:59:27,-,-,neutral,-,Motion,neutral,-,-
49,24373,0YU,"到上海了,做清洁了,把不用的垃圾都扔了,哎~早该扔了.",0YU,做,清洁,2009-11-03T09:59:27,-,-,neutral,-,Activity_finish,neutral,-,-
50,24373,0YU,"到上海了,做清洁了,把不用的垃圾都扔了,哎~早该扔了.",0YU,扔,垃圾,2009-11-03T09:59:27,-,-,neutral,-,Emptying,neutral,-,-
51,9398,0YU,洗了睡了.,0YU,洗,,2011-02-13T14:56:02,-,-,neutral,-,Grooming,neutral,-,-
52,25990,0YU,QQ好友历经半年打造创新型成果#紫砂红外能量颈椎枕.囧~~要的D,QQ好友,打造,紫砂红外能量颈椎枕,2009-12-13T08:50:21,囧,-,negative,-,Creating,negative,-,囧
53,12203,0YU,上海@暴雨,0YU,在,上海,2010-07-04T09:38:23,-,-,neutral,-,Presence,neutral,-,-
54,22614,0YU,"终于吃腻了,好吃的麻辣粉丝海带豆腐.",0YU,吃,麻辣粉丝海带豆腐,2011-03-05T05:48:08,-,-,neutral,-,Ingestion,neutral,-,-
55,24358,0YU,超市买东西回来地上捡到一块钱;)幸福~~~,0YU,去,超市,2010-02-23T14:19:07,-,-,neutral,-,Motion,neutral,-,-
56,24358,0YU,超市买东西回来地上捡到一块钱;)幸福~~~,0YU,捡到,一块钱,2010-02-23T14:19:07,幸福,Feeling,positive,捡到一块钱,Getting,positive,捡到一块钱,幸福
57,24358,0YU,超市买东西回来地上捡到一块钱;)幸福~~~,0YU,买,东西,2010-02-23T14:19:07,-,-,neutral,-,Commerce_buy,neutral,-,-
58,24358,0YU,超市买东西回来地上捡到一块钱;)幸福~~~,0YU,回来,,2010-02-23T14:19:07,-,-,neutral,-,Motion,neutral,-,-
59,19145,0YU,"@DaNmarner一口气看了4节,举出好多反例,但没有说明该怎么解决,也没提出正面例子啊?貌似差的UI设计可以挑一堆毛病,好的设计很难言传啊.",0YU,看,4节,2012-08-06T03:38:39,-,-,neutral,-,Reading,neutral,-,-
60,20768,0YU,"地铁看到5毛钱,没人捡啊,我也没捡.",0YU,看到,5毛钱,2012-07-26T01:21:27,-,-,neutral,-,Perception_active-Look,neutral,-,-
61,20768,0YU,"地铁看到5毛钱,没人捡啊,我也没捡.",0YU,在,地铁,2012-07-26T01:21:27,-,-,neutral,-,Board_vehicle-Board,neutral,-,-
62,29002,0YU,"买了KOF13,从游戏的设定,制作上看,厂家用心良苦,还是很有诚意的,但不得不说SNK已经不是以前的SNK了,人设特别是画质细节跟这个时代的主流游戏比较还是落伍了.曾经最喜欢的游戏公司没落.有点伤感....",0YU,买,KOF13,2013-11-06T02:28:55,伤感,Emotion_directed,negative,曾经最喜欢的游戏公司没落,Commerce_buy,negative,曾经最喜欢的游戏公司没落,伤感
63,17389,0YU,妈蛋，手机VPN终于搞定了，搞了个把月……,0YU,搞定,手机VPN,2015-10-26T15:40:40,-,-,neutral,-,Resolve_problem,neutral,-,-
64,29551,0YU,"洗了,睡.",0YU,洗,,2011-06-25T14:19:58,-,-,neutral,-,Grooming,neutral,-,-
65,22416,0YU,"下班,游泳,吃饭,超市,回家,碎叫.",0YU,游泳,,2012-12-07T09:59:30,-,-,neutral,-,Exercising,neutral,-,-
66,22416,0YU,"下班,游泳,吃饭,超市,回家,碎叫.",0YU,回家,,2012-12-07T09:59:30,-,-,neutral,-,Motion,neutral,-,-
67,22416,0YU,"下班,游泳,吃饭,超市,回家,碎叫.",0YU,吃饭,,2012-12-07T09:59:30,-,-,neutral,-,Ingestion,neutral,-,-
68,22416,0YU,"下班,游泳,吃饭,超市,回家,碎叫.",0YU,去,超市,2012-12-07T09:59:30,-,-,neutral,-,Motion,neutral,-,-
69,22416,0YU,"下班,游泳,吃饭,超市,回家,碎叫.",0YU,下班,,2012-12-07T09:59:30,-,-,neutral,-,Temporary_leave-Work_or_School,neutral,-,-
70,16819,0YU,"好吧,体验了啥叫#googlewave了.google是不是江郎才尽了呢?说白了不就是个华丽GUI的microblog+mail+IM+一大堆杂七杂八功能的大杂烩么.wave并没有让互联网变得更易用,而是更复杂.最好的系统一定不是功能最多的,而是少得不能再少的.140个字",0YU,体验,googlewave,2009-11-13T03:28:47,-,-,neutral,-,Using,neutral,-,-
71,30124,0YU,终于搞懂了...,0YU,搞懂,,2016-08-02T06:31:36,-,-,neutral,-,Awareness,neutral,-,-
72,21763,0YU,"嗯,SSHtunneling果然比p2p的翻墙速度快多了.",0YU,用,SSHtunneling,2010-06-27T03:01:02,-,-,neutral,-,Using,neutral,-,-
73,6720,0YU,"tor官网主页跟新了,感觉很亲切....",0YU,上,tor官网主页,2010-11-28T04:10:30,-,-,positive,感觉很亲切,Network,positive,感觉很亲切,-
74,6358,0YU,"pcap-filter这玩意,貌似不懂TCP/IP网络协议的,玩不转啊.....",0YU,用,pcap-filter,2014-08-05T03:17:39,-,-,neutral,-,Using,neutral,-,-
75,29075,0YU,"MAME0.148全套rom终于下完了,这下回去得花时间整理了.",0YU,下,MAME0.148全套rom,2013-04-01T07:46:14,-,-,neutral,-,Getting,neutral,-,-
76,21931,0YU,"买了7块钱一个的苹果,三个,吃了一个.有点猪八戒吃人参果的感觉~~",0YU,买,苹果,2011-07-04T13:42:00,-,-,neutral,-,Commerce_buy,neutral,-,-
77,21931,0YU,"买了7块钱一个的苹果,三个,吃了一个.有点猪八戒吃人参果的感觉~~",0YU,吃,苹果,2011-07-04T13:42:00,-,-,neutral,-,Ingestion,neutral,-,-
78,30379,0YU,"2分钟吃了半个西瓜,撑爆了....",0YU,吃,西瓜,2010-08-30T13:54:30,-,-,neutral,-,Ingestion,neutral,-,-
79,23071,0YU,"查了半天,觉得可能是所谓的DNSleak造成的.firefox默认的代理设置,只处理IP.DNS解析还是用的本地ISP的DNSserver.如果域名被防火墙屏蔽.即使设置代理服务器也没用.重大设计缺陷啊.我的IE8也有同样问题.哎~~",0YU,遇到,"DNSleak造成的.firefox默认的代理设置,只处理IP.DNS解析还是用的本地ISP的DNSserver",2010-07-20T15:21:17,-,-,neutral,-,Confronting_problem,neutral,-,-
80,23071,0YU,"查了半天,觉得可能是所谓的DNSleak造成的.firefox默认的代理设置,只处理IP.DNS解析还是用的本地ISP的DNSserver.如果域名被防火墙屏蔽.即使设置代理服务器也没用.重大设计缺陷啊.我的IE8也有同样问题.哎~~",0YU,查,,2010-07-20T15:21:17,-,-,neutral,-,Scrutiny,neutral,-,-
81,12580,0YU,"打了一天p3,去超市买菜吧.",0YU,打,p3,2011-03-19T09:36:11,-,-,neutral,-,Competition-Play,neutral,-,-
82,31048,0YU,"年会抽奖,70%中奖率我居然没中.",0YU,參加,年会,2010-01-23T12:40:43,-,-,neutral,,Participation,neutral,,-
83,31048,0YU,"年会抽奖,70%中奖率我居然没中.",0YU,抽,奖,2010-01-23T12:40:43,-,-,negative,没中,Getting,negative,没中,-
84,8042,0YU,"小伙伴们,欧洲之行圆满结束,大家来欣赏我在巴黎和科隆的照片啊.",0YU,在,巴黎,2013-11-29T08:27:25,-,-,neutral,-,Presence,neutral,-,-
85,8042,0YU,"小伙伴们,欧洲之行圆满结束,大家来欣赏我在巴黎和科隆的照片啊.",0YU,在,科隆,2013-11-29T08:27:25,-,-,neutral,-,Presence,neutral,-,-
86,8042,0YU,"小伙伴们,欧洲之行圆满结束,大家来欣赏我在巴黎和科隆的照片啊.",0YU,去,欧洲,2013-11-29T08:27:25,-,-,neutral,-,Motion,neutral,-,-
87,30810,0YU,"尼玛windows8关UAC还要改注册表?然后好多功能在UAC关闭后就禁用了?原来所谓的提高系统安全性就是一大脚把球踢给用户.老子不单掏钱买系统,还要掏精自己保障系统安全.",0YU,关,UAC,2013-05-08T05:58:33,-,-,neutral,-,Change_operational_state-Off,neutral,-,-
88,30810,0YU,"尼玛windows8关UAC还要改注册表?然后好多功能在UAC关闭后就禁用了?原来所谓的提高系统安全性就是一大脚把球踢给用户.老子不单掏钱买系统,还要掏精自己保障系统安全.",0YU,改,注册表,2013-05-08T05:58:33,-,-,neutral,-,Cause_change,neutral,-,-
89,30810,0YU,"尼玛windows8关UAC还要改注册表?然后好多功能在UAC关闭后就禁用了?原来所谓的提高系统安全性就是一大脚把球踢给用户.老子不单掏钱买系统,还要掏精自己保障系统安全.",0YU,用,windows8,2013-05-08T05:58:33,-,-,neutral,-,Using,neutral,-,-
90,24407,0YU,"马勒隔壁的,票卖完了,才发现有软件可以刷自动登录和馀票的.",0YU,发现,有软件可以刷自动登录和馀票的,2012-01-07T13:21:01,-,-,neutral,-,Becoming_aware,neutral,-,-
91,24407,0YU,"马勒隔壁的,票卖完了,才发现有软件可以刷自动登录和馀票的.",0YU,卖,票,2012-01-07T13:21:01,-,-,neutral,-,Commerce_sell,neutral,-,-
92,25362,0YU,@leona0909...地擦得贼亮贼亮的..,leona0909,擦,地,2014-11-07T06:16:25,-,-,neutral,-,Grooming,neutral,,
93,30829,0YU,好文章...,0YU,读,文章,2016-01-19T02:52:14,-,-,neutral,-,Reading,neutral,-,-
94,19043,0YU,锻炼ppingstart.,0YU,锻炼,ppingstart,2009-10-29T07:37:38,-,-,neutral,-,Practice,neutral,-,-
95,25779,0YU,"睡午觉,晚上看球....",0YU,睡午觉,,2009-12-13T04:05:32,-,-,neutral,-,Sleep,neutral,-,-
96,25779,0YU,"睡午觉,晚上看球....",0YU,看,球,2009-12-13T04:05:32,-,-,neutral,-,Perception_active-Look,neutral,-,-
97,20948,0YU,"电骡速度达到前所未有的100K+,哪个家里上传的带宽就这高呢.",0YU,用,电骡,2010-02-04T12:55:52,-,-,neutral,-,Using,neutral,-,-
98,14875,0YU,"上海今天有点冷,街对面的喇叭是45分钟响一次啊,精确报时.",0YU,聽,街对面的喇叭,2009-11-10T02:44:43,-,-,neutral,-,Perception_active-Listen,neutral,-,-
99,14875,0YU,"上海今天有点冷,街对面的喇叭是45分钟响一次啊,精确报时.",0YU,在,上海,2009-11-10T02:44:43,-,-,neutral,-,Presence,neutral,-,-
100,28994,0YU,二爷爷2号就死了。。。。,二爷爷,死,,2015-01-11T04:34:15,-,-,negative,爷爷2号就死了,Dead,negative,,
101,20025,0YU,"哎,好不容易登上来.用web上twitter的人都用的啥高科技翻墙的呢.",0YU,登,twitter,2010-06-03T13:22:20,-,-,neutral,-,Network,neutral,-,-
102,28968,0YU,很少见好莱坞也出和谐片It'sawonderfullife太河蟹了.,0YU,看,It'sawonderfullife,2011-02-27T08:54:45,-,-,neutral,-,Perception_active-Look,neutral,-,-
103,4696,0YU,firefox3.6linux版本的为啥不能隐藏菜单栏?,0YU,用,firefox3.6linux版本,2010-01-28T13:46:12,-,-,neutral,-,Using,neutral,-,-
104,16023,0YU,"Java的ResourceBundle类复杂超出我想像,说明文档就够一天看了.国际化概念简单,实现起来花头真多......",0YU,实现,Java的ResourceBundle,2013-05-17T09:37:19,-,-,neutral,-,Using,neutral,-,-
105,16023,0YU,"Java的ResourceBundle类复杂超出我想像,说明文档就够一天看了.国际化概念简单,实现起来花头真多......",0YU,看,说明文档,2013-05-17T09:37:19,-,-,neutral,-,Perception_active-Look,neutral,-,-
106,12145,0YU,"看了一天漫画,累~~~",0YU,看,漫画,2011-02-26T14:47:31,累,Stimulus_focus,negative,-,Reading,negative,-,累
107,30614,0YU,"哈哈,加了个twitterverifiedsign,现在我成了verifiedaccount了,哈哈.",0YU,加,twitterverifiedsign,2009-12-24T07:17:55,-,-,neutral,,Getting,neutral,,-
108,30614,0YU,"哈哈,加了个twitterverifiedsign,现在我成了verifiedaccount了,哈哈.",0YU,成,verifiedaccount,2009-12-24T07:17:55,哈哈,-,positive,成了verifiedaccount,Coming_to_be,positive,成了verifiedaccount,哈哈
109,23743,0YU,"打乒乓球的都是sb,我以前是sb,现在不是了.",0YU,打,乒乓球,2010-05-04T13:35:14,-,-,neutral,-,Competition-Play,neutral,-,-
110,22574,0YU,"goagent,还是不要作ip段了,直接升级用最新的吧.",0YU,使用,goagent,2014-06-18T09:22:05,-,-,neutral,-,Using,neutral,-,-
111,26819,0YU,"你马,装了最新QQ5.4居然发现emacs的alt+w没法用了,被绑定成啥QQ语音输入.害我emacs折腾半天怀疑是不是把emacs玩坏了.关键QQ后台也绑定这个快捷键,又一在后台干坏事的铁证.....",0YU,折腾,emacs,2014-05-22T07:12:30,-,-,neutral,-,Using,neutral,-,-
112,26819,0YU,"你马,装了最新QQ5.4居然发现emacs的alt+w没法用了,被绑定成啥QQ语音输入.害我emacs折腾半天怀疑是不是把emacs玩坏了.关键QQ后台也绑定这个快捷键,又一在后台干坏事的铁证.....",0YU,发现,"emacs的alt+w没法用了,被绑定成啥QQ语音输入",2014-05-22T07:12:30,-,-,neutral,-,Becoming_aware,neutral,-,-
113,26819,0YU,"你马,装了最新QQ5.4居然发现emacs的alt+w没法用了,被绑定成啥QQ语音输入.害我emacs折腾半天怀疑是不是把emacs玩坏了.关键QQ后台也绑定这个快捷键,又一在后台干坏事的铁证.....",0YU,装,QQ5.4,2014-05-22T07:12:30,-,-,neutral,-,Installing,neutral,-,-
114,31146,0YU,-&gt;旺角码头,0YU,在,旺角码头,2010-04-17T09:57:54,-,-,neutral,-,Presence,neutral,-,-
115,13137,0YU,"关机,回家.88.",0YU,关机,,2012-06-04T09:57:04,-,-,neutral,-,Change_operational_state-Off,neutral,-,-
116,13137,0YU,"关机,回家.88.",0YU,回家,,2012-06-04T09:57:04,-,-,neutral,-,Motion,neutral,-,-
117,5084,0YU,Google上搜谁是公元1111年11月11日出生的?居然是中国人民解放军?-八一,0YU,搜,谁是公元1111年11月11日出生的,2009-11-11T07:23:10,-,-,neutral,-,Scrutiny,neutral,-,-
118,22129,0YU,今天的tor只有207个relay.,0YU,建,tor,2010-12-23T03:40:34,-,-,neutral,-,Building,neutral,-,-
119,7687,0YU,"手破了,今天不烧饭.",手,破,,2009-12-24T07:34:37,-,-,negative,手破了,Perception_body-Injure,negative,手破了,-
120,11853,0YU,"看完了甄子丹的叶问...很好的电影,但为啥非要杜撰个打日本人的剧情呢.....",0YU,看,甄子丹的叶问,2012-08-18T05:00:15,-,-,neutral,-,Perception_active-Look,neutral,-,-
121,18659,0YU,"@akid@washearg以一个外行人来看,报纸上的文章不是作者文笔不行,而是没有深度和思想啊.",0YU,看,报纸上的文章,2011-10-08T03:07:08,-,-,neutral,-,Perception_active-Look,neutral,-,-
122,15859,0YU,"听了曾仕强老师的易经课程,突然领悟到中国所有不和谐因素的根源是阴盛阳衰,阴阳颠倒造成的.",0YU,听,曾仕强老师的易经课程,2009-11-16T13:55:24,-,-,neutral,-,Perception_active-Listen,neutral,-,-
123,30307,0YU,"炉石传说虐电脑只输了一把,偶是不是太聪明了哇....",0YU,玩,炉石传说,2013-10-23T06:38:06,-,-,neutral,-,Competition-Play,neutral,-,-
124,30307,0YU,"炉石传说虐电脑只输了一把,偶是不是太聪明了哇....",0YU,虐,电脑,2013-10-23T06:38:06,-,-,neutral,-,Finish_competition-Win,neutral,-,-
125,30307,0YU,"炉石传说虐电脑只输了一把,偶是不是太聪明了哇....",0YU,输,电脑,2013-10-23T06:38:06,-,-,neutral,-,Finish_competition-Lose,neutral,-,-
126,29594,0YU,"今天还是烧老两样.芹菜炒干丝,番茄紫菜蛋汤.",0YU,烧,芹菜炒干丝,2011-03-20T10:06:04,-,-,neutral,-,Cooking_creation,neutral,-,-
127,29594,0YU,"今天还是烧老两样.芹菜炒干丝,番茄紫菜蛋汤.",0YU,烧,番茄紫菜蛋汤,2011-03-20T10:06:04,-,-,neutral,-,Cooking_creation,neutral,-,-
128,6623,0YU,"吃饺子了,吃饺子啦.",0YU,吃,饺子,2012-10-03T12:28:57,-,-,neutral,-,Ingestion,neutral,-,-
129,10419,0YU,研究下sed.,0YU,研究,sed,2010-05-08T11:15:11,-,-,neutral,-,Studying,neutral,-,-
130,25679,0YU,"iPhone换了个屏,󾮌变紧了……",0YU,换,屏,2016-03-08T16:19:55,-,-,neutral,-,Cause_change,neutral,-,-
131,12965,0YU,"我plurk了,我plurk了.....",0YU,用,plurk,2009-10-27T03:55:41,-,-,neutral,-,Network,neutral,-,-
132,27080,0YU,"翻遍纽约时报,找不到jobs的相关消息?咋回事?",0YU,找,jobs的相关消息,2011-10-06T01:51:59,-,-,neutral,-,Seeking,neutral,-,-
133,27080,0YU,"翻遍纽约时报,找不到jobs的相关消息?咋回事?",0YU,翻,纽约时报,2011-10-06T01:51:59,-,-,neutral,-,Scrutiny,neutral,-,-
134,18518,0YU,"12元的全家午餐结实的摔在地上,只有去吃14元的地沟油三丝炒蛋了.",0YU,吃,14元的地沟油三丝炒蛋,2011-08-24T05:11:07,-,-,neutral,-,Ingestion,neutral,-,-
135,18518,0YU,"12元的全家午餐结实的摔在地上,只有去吃14元的地沟油三丝炒蛋了.",0YU,摔,12元的全家午餐,2011-08-24T05:11:07,-,-,neutral,-,Cause_motion,neutral,-,-
136,7424,0YU,"切西瓜手划破了,今天不能游泳啊,坚持一个月了,玛德把手剁了的心都有了.",0YU,切,西瓜,2012-07-11T08:46:46,-,-,neutral,,Cutting,neutral,,-
137,7424,0YU,"切西瓜手划破了,今天不能游泳啊,坚持一个月了,玛德把手剁了的心都有了.",手,划破,,2012-07-11T08:46:46,-,-,negative,手划破了,Destroying,negative,手划破了,-
138,13329,0YU,"曼妥思的口香糖比益达的块头大,口味重,我喜欢.",0YU,吃,曼妥思的口香糖,2012-02-06T05:45:43,-,-,positive,喜欢,Ingestion,positive,喜欢,-
139,13329,0YU,"曼妥思的口香糖比益达的块头大,口味重,我喜欢.",0YU,吃,益达,2012-02-06T05:45:43,-,-,neutral,,Ingestion,neutral,,-
140,18657,0YU,"现在魔兽争霸3选人族轻松蹂躏令人发狂的电脑,哈哈...",0YU,蹂躏,电脑,2010-04-15T15:06:11,哈哈,-,positive,,Finish_competition-Win,positive,,哈哈
140,18657,0YU,"现在魔兽争霸3选人族轻松蹂躏令人发狂的电脑,哈哈...",0YU,玩,魔兽争霸3,2010-04-15T15:06:11,-,-,neutral,,Competition-Play,neutral,,-
141,18657,0YU,"现在魔兽争霸3选人族轻松蹂躏令人发狂的电脑,哈哈...",0YU,选,人族,2010-04-15T15:06:11,-,-,neutral,,Choosing,neutral,,-
142,19918,0YU,"goagent的obfuscate功能现在不能用了,用了就打不开网页.貌似已经被isp针对了?",0YU,用,goagent的obfuscate功能,2014-11-12T02:35:50,-,-,neutral,-,Using,neutral,-,-
